vol,25095
1,67894
1884,293
30,5883
november,8947
1896,608
a,279478
confession,264
i,311203
wrote,3201
it,200374
on,89520
slip,404
of,527253
paper,1811
and,358753
handed,855
to,578899
him,31914
myself,6974
in,304423
this,94596
note,4054
not,175969
only,36655
did,15482
confess,878
my,72054
guilt,206
but,89401
asked,7250
adequate,480
punishment,791
for,151154
closed,667
with,89667
request,1907
punish,266
himself,7369
offence,599
also,31286
pledged,338
never,11070
steal,147
future,2809
an,42624
autobiography,358
pt,334
ch,247
viii,151
2,40388
speech,7478
at,65457
alfred,35
high,3142
school,3161
rajkot,1461
3,24779
july,9660
4,15584
1888,90
hope,13362
that,254721
some,24120
you,182512
will,95393
follow,3757
footsteps,93
after,19295
return,4017
from,121949
england,3087
work,25850
wholeheartedly,21
big,1853
reforms,786
india,35074
gujarati,19769
kethiawar,1
times,3607
12,8318
7,9459
when,30445
gandhiji,12070
was,94755
15,6987
he,93861
had,55496
removed,1503
bit,429
gold,755
his,59484
brothers,2572
armlet,3
clear,3934
small,2827
debt,439
the,1011505
latter,2919
felt,3666
so,46042
mortified,7
about,32557
act,8995
decided,2451
make,15931
father,2585
parental,35
forgiveness,212
granted,1272
form,3972
silent,791
tears,304
incident,883
left,5659
lasting,218
mark,497
mind,8803
own,15527
words,3956
object,2058
lesson,1100
power,5496
ahimsa,2216
original,7775
being,18115
available,2202
report,4895
as,114776
found,5500
is,250152
reproduced,1783
here,19725
according,3551
mahatma,25656
gandhi,42650
early,1751
phase,434
p,8186
212,211
one,44402
senten,1
ces,20
your,70290
son,2672
now,25183
eyes,1878
no,59218
better,7499
than,16920
common,2762
thief,200
given,11621
send,7771
off,2813
by,80048
fellow,1157
students,3459
leaving,1713
study,2478
bar,684
xi,105
says,4457
written,7577
out,22179
few,6627
thanks,1111
could,20729
scarcely,164
stammer,2
them,46893
remember,2891
how,16965
head,1674
reeled,4
whole,8727
frame,332
shook,50
stood,634
up,22558
read,9007
collected,24328
works,24349
letter,72670
lakshmidas,313
london,2793
friday,830
9,8473
respected,436
brother,2050
am,34757
sorry,1904
there,62670
has,68312
been,42554
last,8143
two,14049
or,61841
three,6576
weeks,609
silence,1939
due,2732
perhaps,3687
having,8183
heard,2408
me,67312
impossible,3001
post,1511
any,36367
letters,7340
before,17382
reached,1881
should,67232
have,160450
account,3269
indeed,3002
surprising,327
far,8317
home,3970
we,89951
can,52800
meet,3862
through,12241
if,99906
do,68408
get,12885
feel,9667
very,18614
much,16958
worried,338
therefore,20740
please,5399
drop,555
postcard,630
every,15030
week,2924
without,15809
fail,1430
would,59732
anxious,1375
address,3589
stopped,1065
writing,5561
twice,525
joined,855
inner,714
temple,2656
tuesday,928
write,11689
detail,595
hear,2167
next,3134
cold,879
bitter,600
such,30970
bad,2824
weather,443
generally,1395
does,16247
long,10634
spite,2514
need,9984
meat,624
liquor,1065
fills,148
heart,5607
joy,1186
thankfulness,24
keeping,2523
good,17847
health,6507
give,19031
respects,435
mother,2773
sister,1580
law,9621
photostat,13049
diary,2274
what,42739
led,957
intention,1411
proceeding,479
scene,392
opens,74
end,5846
april,10414
coming,3259
sake,2823
actually,1117
formed,1010
secret,1211
design,117
satisfy,1095
curiosity,124
knowing,1180
while,5965
prosecuting,57
college,1360
studies,811
nephew,131
co,9418
worker,1881
chhaganlal,2101
first,9483
time,27774
1909,1566
gave,3703
filled,727
120,267
pages,685
mahadev,4534
desai,3606
1920,3741
doing,7428
copied,181
notebook,19
20,5513
remaining,796
100,830
were,32241
continuous,262
merely,3617
chronicle,1384
incidents,380
during,7627
stay,3861
1891,90
untraceable,2
chhaganlals,86
copy,8956
minimum,694
editing,95
english,6153
19,4242
bhavnagar,299
chat,172
jayshankar,3
buch,43
advised,1196
apply,1255
junagadh,102
state,8182
scholarship,126
proceed,918
inhabitant,27
sorath,7
perfectly,1152
answer,3252
made,16896
day,13224
suppose,1342
impossibility,245
getting,2405
visiting,349
land,3613
finding,632
means,8477
reach,2517
13th,384
enjoy,974
vacation,73
days,7109
elder,269
went,3770
see,17561
patwari,81
our,35777
said,18104
go,18053
mavji,36
joshi,986
usual,728
then,17861
put,8272
questions,3126
plainly,181
told,6057
hardly,2059
chance,694
passing,1179
examination,1008
year,4939
added,1313
course,8405
difficult,4396
hearing,630
soon,3509
possible,9264
called,5218
expense,870
be,164534
rs,4553
5,12075
000,3046
let,13317
take,19479
urad,5
dal,212
cook,319
food,4436
thereby,870
objection,1414
religion,4146
dont,4000
reveal,121
matter,12459
anybody,1856
try,3692
porbandar,142
states,2268
kevalram,38
pecuniary,199
help,9353
money,6244
sell,759
furniture,102
anyhow,227
mohandas,1513
think,15938
keep,6780
reputation,289
deceased,243
all,66599
family,2479
members,5738
great,11551
faith,6441
who,50285
naturally,1515
credulous,40
promise,1544
exertions,17
notwithstanding,299
thing,9208
khushalbhai,82
6,10813
approved,477
case,9217
observe,2070
meghjibhai,10
quite,5818
agreed,1510
proposal,1329
offered,1589
disclosed,41
dear,11181
she,15243
reproached,10
former,1091
princely,119
gujarat,2681
ibid,985
district,2152
saurashtra,122
priest,243
friend,5987
adviser,131
leading,1018
lawyer,604
kathiwan,1
gandhijis,3596
cousin,105
maganlal,1225
both,9867
whom,4513
worked,1026
south,7730
africa,6439
comes,3027
which,51340
thought,6459
come,18404
kevalrambhai,5
saw,2633
accordingly,676
satisfactory,671
doubt,4845
spend,1261
least,4606
10,8607
blow,301
again,5953
set,3246
aside,468
religious,3154
prejudices,188
eat,2052
must,29715
drink,1807
cannot,19589
live,5810
more,21860
cleverer,1
important,2493
speak,2498
frankly,470
offended,124
look,3702
are,88734
still,8399
young,6989
many,15605
temptations,156
apt,116
entrapped,10
partially,129
dejected,22
talk,3577
man,12898
leave,5868
easily,2175
illustrated,51
statement,5627
giving,3910
example,1699
mr,23019
gulam,103
mahomed,1151
munshi,624
whether,9185
way,13510
answered,686
negative,174
gladly,812
anything,6909
except,2262
everything,3620
entrusted,390
business,2500
receiving,829
consent,916
arduous,61
task,2186
us,22283
though,8103
busy,667
similar,1738
kind,3240
earlier,1344
returned,1528
began,1185
introduce,618
subject,3582
joke,121
turned,979
reality,538
fixed,1340
going,8397
thrice,130
prepared,3593
difficulty,3226
came,5560
once,4410
zaverchand,4
hour,1865
departure,557
serious,1765
accident,246
took,3454
place,10799
always,6290
quarrelling,98
sheikh,134
mehtab,21
engrossed,168
thinking,2158
quarrel,648
musical,78
party,3645
night,2249
well,15411
m,12190
ended,349
rami,94
buried,216
madcap,5
thoughts,1409
side,2600
other,26180
amidst,130
unconsciously,254
contact,1081
carriage,217
received,7796
injury,379
yet,7055
walking,486
dizzy,7
entered,998
house,3908
boyhood,13
tried,1783
several,2521
years,7036
reform,1504
success,2370
stone,635
unknowingly,69
senseless,73
know,23547
fell,663
flat,112
ground,1921
steps,1038
minutes,911
they,77982
considered,3030
dead,1077
fortunately,267
smooth,134
senses,581
joyful,28
sent,8481
caused,688
delay,895
none,2152
allow,1573
afterwards,638
bold,330
dearest,165
allowed,2566
feared,235
calumny,32
people,26629
too,12647
encounter,30
difficulties,1863
length,960
lalbhai,38
karsondas,3
khadi,11329
bridge,185
fetch,113
exact,452
uncle,183
secondly,360
lely,18
render,1192
failure,845
ask,7027
parmanandbhai,7
liked,701
expected,2017
enumerate,25
advantages,172
generation,274
like,18532
nevertheless,847
shall,21962
consider,4705
disappointed,322
satisfaction,1152
events,805
inwardly,60
deed,648
proved,1654
right,12732
unfortunately,625
true,8143
misfortunes,59
single,3036
where,8738
gone,4127
wait,1243
till,3982
sunday,1278
gives,1907
pleasure,1466
settled,1072
monday,1325
done,11414
life,11952
interview,2710
gentleman,922
formerly,268
dared,138
front,700
gandhis,943
british,12776
agent,556
porbandhar,1
minority,686
prince,436
hurry,623
ascending,10
ladder,37
upper,339
storey,13
bungalow,321
poor,4851
however,11110
graduate,127
expect,3471
reply,7349
rather,2929
determined,714
upon,12118
exacting,110
something,4229
addressed,1774
thus,5330
tell,6835
really,3206
chief,1587
aim,1055
replied,1543
approve,700
pilgrimage,375
disgraceful,145
part,9635
say,19307
prevent,1550
rendering,488
refusing,351
just,8485
uttered,225
these,22451
angry,856
tone,184
chap,8
why,9916
knows,2155
brings,541
forth,800
excuse,613
real,3451
gaily,2
ran,183
word,4008
related,306
between,8999
same,12456
overjoyed,13
pleased,1011
swore,14
surely,1926
stayed,539
assured,849
absence,1111
full,5554
tricks,45
reminded,355
forged,59
signature,381
shown,1787
passed,3524
puffed,17
solemn,256
informed,1343
until,1841
bade,29
farewell,160
meghjis,4
incarnation,111
miserliness,12
discontinue,73
rent,499
separated,200
friends,5994
neighbourhood,187
landlady,36
forget,1844
their,53637
kindness,330
anopram,1
others,9669
colonel,164
watson,14
19th,345
june,7497
because,13872
beginning,1315
may,49496
entertained,175
hopes,646
hard,1944
sleep,984
attacked,258
dreams,195
persons,4246
dissuaded,49
sometimes,1258
strange,545
infrequently,15
changed,893
held,4254
suspense,86
knew,2263
begun,685
sound,758
result,4237
disappointing,87
acted,711
enemy,823
spoke,940
ill,3138
everybody,1179
able,10886
disregard,413
taunts,16
uneasy,75
console,114
her,18063
often,3495
consoled,36
laugh,276
heartily,217
shedding,98
got,7112
trivial,103
introduction,675
peremptory,98
voice,1313
worth,2357
lac,37
rupees,1502
makes,1890
fourth,497
august,8832
brought,3653
crisis,489
fact,6479
press,4155
political,4555
kathiawar,1185
stationed,36
8,9214
h,2539
thakoresaheb,12
requested,625
obtained,728
therefrom,86
photo,19
fulsome,8
flattery,72
practise,760
resorted,342
piece,588
gross,236
10th,441
nathubhai,41
started,2211
bombay,9892
fellows,105
rose,286
half,2448
shake,231
further,4942
bid,110
messrs,721
vrajlal,78
harishankar,6
amolakh,1
manekchand,3
latib,2
popat,5
bhanji,14
khimji,15
ramji,118
damodar,59
meghji,13
kalidas,84
naranji,26
ranchhoddas,44
manilal,1620
among,7203
those,20431
jatashankar,3
vishvanath,16
station,1071
gondal,62
dr,8119
bhau,143
kapurbhai,1
jetpur,30
dhola,3
usmanbhai,1
met,2210
wadhwan,138
narandas,3037
pranshankar,17
narbheram,13
anandrai,1
twenty,1312
withstand,65
indescribable,60
caste,2458
best,5893
almost,2709
opposition,1162
wouldnt,132
heed,122
advice,3278
sea,553
delayed,243
sudden,346
4th,385
september,9798
obliged,960
jagmohandas,21
damodardas,61
bechardas,11
shamalji,3
owe,406
immense,259
obligation,486
ranchhodlal,52
manshankar,29
ruler,420
vide,13527
close,1314
corres,100
pondence,47
patwaris,6
helped,631
financially,46
narayandas,30
dwarkadas,68
popatlal,37
kashidas,3
modi,145
thakore,397
ravi,10
shankar,177
pherozeshah,127
ratanshah,1
board,2169
steamer,262
clyde,3
silver,264
chain,149
departed,147
finishing,175
position,5356
dare,707
dearer,132
voyage,220
ship,486
weighed,201
anchor,47
throughout,1302
sick,426
vomiting,23
sailed,59
steamship,49
enjoyed,410
oclock,586
dinner,329
bell,89
rung,26
steward,20
table,975
ate,176
surprised,796
liberty,1351
mazmudar,33
manner,3697
old,3965
acquaintances,34
black,641
coat,65
mine,1939
keys,43
maratha,17
doctor,1380
aden,65
looked,936
lived,1079
sweetmeat,18
fruits,590
agreement,1263
boys,2169
abdul,950
majid,79
class,3090
passenger,176
saloon,66
passengers,841
cooked,368
boy,863
arrangements,971
sit,925
cabins,7
saloons,8
motion,286
dexterity,8
workmen,99
sailors,33
admirable,141
instruments,225
played,286
piano,20
cards,147
chessboard,2
draughts,25
european,2172
games,92
decks,24
relief,2061
tired,516
sitting,722
